id,x,y,
601,123583.94418313791,-3677678.99131796,
602,123583.94418313791,-3676678.99131796,
603,123583.94418313791,-3675678.99131796,
604,123583.94418313791,-3674678.99131796,
605,123583.94418313791,-3673678.99131796,
606,123583.94418313791,-3672678.99131796,
607,123583.94418313791,-3671678.99131796,
608,123583.94418313791,-3670678.99131796,
609,123583.94418313791,-3669678.99131796,
610,123583.94418313791,-3668678.99131796,
611,124583.94418313791,-3714678.99131796,
612,124583.94418313791,-3713678.99131796,
613,124583.94418313791,-3712678.99131796,
614,124583.94418313791,-3711678.99131796,
615,124583.94418313791,-3710678.99131796,
616,124583.94418313791,-3709678.99131796,
617,124583.94418313791,-3708678.99131796,
618,124583.94418313791,-3707678.99131796,
619,124583.94418313791,-3706678.99131796,
620,124583.94418313791,-3705678.99131796,
621,124583.94418313791,-3704678.99131796,
622,124583.94418313791,-3703678.99131796,
623,124583.94418313791,-3702678.99131796,
624,124583.94418313791,-3701678.99131796,
625,124583.94418313791,-3700678.99131796,
626,124583.94418313791,-3699678.99131796,
627,124583.94418313791,-3698678.99131796,
628,124583.94418313791,-3697678.99131796,
629,124583.94418313791,-3696678.99131796,
630,124583.94418313791,-3695678.99131796,
631,124583.94418313791,-3694678.99131796,
632,124583.94418313791,-3693678.99131796,
633,124583.94418313791,-3692678.99131796,
634,124583.94418313791,-3691678.99131796,
635,124583.94418313791,-3690678.99131796,
636,124583.94418313791,-3689678.99131796,
637,124583.94418313791,-3688678.99131796,
638,124583.94418313791,-3687678.99131796,
639,124583.94418313791,-3686678.99131796,
640,124583.94418313791,-3685678.99131796,
641,124583.94418313791,-3684678.99131796,
642,124583.94418313791,-3683678.99131796,
643,124583.94418313791,-3682678.99131796,
644,124583.94418313791,-3681678.99131796,
645,124583.94418313791,-3680678.99131796,
646,124583.94418313791,-3679678.99131796,
647,124583.94418313791,-3678678.99131796,
648,124583.94418313791,-3677678.99131796,
649,124583.94418313791,-3676678.99131796,
650,124583.94418313791,-3675678.99131796,
651,124583.94418313791,-3674678.99131796,
652,124583.94418313791,-3673678.99131796,
653,124583.94418313791,-3672678.99131796,
654,124583.94418313791,-3671678.99131796,
655,124583.94418313791,-3670678.99131796,
656,124583.94418313791,-3669678.99131796,
657,124583.94418313791,-3668678.99131796,
658,125583.94418313791,-3714678.99131796,
659,125583.94418313791,-3713678.99131796,
660,125583.94418313791,-3712678.99131796,
661,125583.94418313791,-3711678.99131796,
662,125583.94418313791,-3710678.99131796,
663,125583.94418313791,-3709678.99131796,
664,125583.94418313791,-3708678.99131796,
665,125583.94418313791,-3707678.99131796,
666,125583.94418313791,-3706678.99131796,
667,125583.94418313791,-3705678.99131796,
668,125583.94418313791,-3704678.99131796,
669,125583.94418313791,-3703678.99131796,
670,125583.94418313791,-3702678.99131796,
671,125583.94418313791,-3701678.99131796,
672,125583.94418313791,-3700678.99131796,
673,125583.94418313791,-3699678.99131796,
674,125583.94418313791,-3698678.99131796,
